pocz;zyl;b;wstp;wstk;lkr;SL;TP;bvol;vwst;ll3;bawe;bcawe
1000;0.0000;-0.0002;23;3;7;0.0069;0.0037;300;6;4;0.0016;0.0070
1100;0.0000;-0.0002;23;3;4;0.0055;0.0035;310;6;5;0.0016;0.0060
1200;0.0000;-0.0002;23;3;4;0.0055;0.0035;340;6;6;0.0016;0.0060
1300;0.0000;-0.0001;23;3;5;0.0055;0.0034;340;6;6;0.0016;0.0070
1400;0.0000;-0.0002;23;3;4;0.0055;0.0035;450;6;6;0.0016;0.0060
1500;0.0000;-0.0001;23;3;4;0.0055;0.0036;450;6;6;0.0016;0.0060
1600;0.0000;-0.0001;23;3;4;0.0055;0.0036;380;6;6;0.0016;0.0060
1700;0.0000;-0.0001;23;3;5;0.0055;0.0036;490;6;6;0.0016;0.0060
1800;0.0000;-0.0001;23;3;5;0.0050;0.0037;470;6;6;0.0016;0.0060
1900;0.0000;-0.0001;24;3;4;0.0065;0.0037;450;6;7;0.0016;0.0060
2000;0.0000;-0.0010;24;3;5;0.0062;0.0038;450;6;7;0.0016;0.0060
2100;0.0000;-0.0010;24;3;5;0.0062;0.0038;450;6;7;0.0016;0.0060
2200;0.0000;-0.0010;24;3;5;0.0062;0.0038;450;6;8;0.0016;0.0050
2300;0.0000;-0.0010;24;3;5;0.0062;0.0039;470;6;8;0.0016;0.0060
2400;0.0000;-0.0010;21;3;5;0.0062;0.0031;480;6;8;0.0016;0.0060
2500;0.0000;-0.0011;20;3;5;0.0062;0.0031;460;6;8;0.0016;0.0060
2600;0.0000;-0.0011;20;3;5;0.0060;0.0031;480;6;8;0.0016;0.0060
2700;0.0000;-0.0010;21;3;5;0.0075;0.0031;480;6;8;0.0016;0.0060
2800;0.0000;-0.0010;21;3;5;0.0077;0.0031;480;6;8;0.0016;0.0050
2900;0.0000;-0.0010;21;2;6;0.0072;0.0032;480;6;9;0.0016;0.0040
3000;0.0000;-0.0010;21;1;6;0.0072;0.0031;470;6;9;0.0016;0.0040
3100;0.0000;-0.0012;20;1;6;0.0078;0.0033;470;8;9;0.0016;0.0040
3200;0.0000;-0.0012;20;1;6;0.0079;0.0033;460;7;10;0.0016;0.0030
3300;0.0000;-0.0010;22;1;6;0.0079;0.0033;460;7;10;0.0016;0.0030
3400;0.0000;-0.0010;23;1;6;0.0079;0.0033;440;7;10;0.0016;0.0030
3500;0.0000;-0.0010;23;2;7;0.0077;0.0035;320;6;10;0.0011;0.0030
3600;0.0000;-0.0010;23;1;5;0.0077;0.0036;340;6;10;0.0011;0.0030
3700;0.0000;-0.0010;23;1;5;0.0077;0.0036;335;6;10;0.0011;0.0020
3800;0.0000;-0.0003;22;1;4;0.0077;0.0042;310;6;10;0.0011;0.0020
3900;0.0000;-0.0003;22;1;5;0.0077;0.0042;360;5;12;0.0011;0.0020
4000;0.0000;-0.0003;22;1;5;0.0077;0.0042;360;5;12;0.0011;0.0020
4100;0.0000;-0.0010;20;1;6;0.0077;0.0041;440;6;17;0.0011;0.0030
4200;0.0000;-0.0010;21;1;7;0.0077;0.0041;450;5;18;0.0011;0.0030
4300;0.0000;-0.0011;21;1;6;0.0077;0.0040;430;6;18;0.0011;0.0030
