pocz;zyl;duration;volthre;vollen;buffer;SL;closeAgo
1000;-0.0052;20.0000;427.0000;9.0000;0.0020;0.0052;37.0000
1100;0.0065;15.0000;83.0000;9.0000;0.0019;0.0054;61.0000
1200;-0.0054;15.0000;-93.0000;14.0000;0.0008;0.0054;61.0000
1300;0.0000;14.0000;-263.0000;15.0000;0.0007;0.0056;166.0000
1400;0.0006;12.0000;-142.0000;18.0000;0.0019;0.0092;127.0000
1500;0.0023;16.0000;37.0000;17.0000;0.0013;0.0066;50.0000
1600;0.0025;16.0000;239.0000;10.0000;0.0003;0.0068;172.0000
1700;0.0087;15.0000;114.0000;10.0000;0.0014;0.0096;136.0000
1800;-0.0050;15.0000;-21.0000;8.0000;0.0007;0.0092;154.0000
1900;-0.0019;15.0000;-187.0000;11.0000;0.0016;0.0082;56.0000
2000;0.0069;15.0000;21.0000;9.0000;0.0015;0.0092;136.0000
2100;0.0000;10.0000;-35.0000;14.0000;0.0006;0.0088;134.0000
2200;-0.0240;15.0000;100.0000;9.0000;0.0004;0.0094;136.0000
2300;0.0000;15.0000;-222.0000;16.0000;0.0008;0.0094;135.0000
2400;0.0030;15.0000;40.0000;9.0000;0.0009;0.0074;136.0000
2500;0.0091;14.0000;-25.0000;16.0000;0.0020;0.0094;99.0000
2600;0.0029;14.0000;-140.0000;11.0000;0.0007;0.0086;121.0000
2700;0.0000;14.0000;124.0000;16.0000;0.0007;0.0078;130.0000
2800;0.0000;14.0000;-27.0000;16.0000;0.0006;0.0092;121.0000
2900;0.0000;14.0000;133.0000;12.0000;0.0007;0.0072;121.0000
3000;-0.0003;14.0000;108.0000;15.0000;0.0005;0.0090;130.0000
3100;-0.0224;14.0000;9.0000;15.0000;0.0017;0.0070;121.0000
3200;0.0000;10.0000;492.0000;14.0000;0.0004;0.0054;83.0000
3300;-0.0288;12.0000;95.0000;17.0000;0.0006;0.0046;83.0000
3400;-0.0082;12.0000;-262.0000;18.0000;0.0005;0.0094;83.0000
3500;-0.0017;12.0000;-138.0000;14.0000;0.0020;0.0082;83.0000
3600;-0.0011;9.0000;7.0000;14.0000;0.0014;0.0076;83.0000
3700;0.0000;17.0000;-204.0000;11.0000;0.0013;0.0076;100.0000
3800;0.0028;19.0000;-106.0000;10.0000;0.0003;0.0092;93.0000
3900;0.0176;17.0000;-133.0000;13.0000;0.0017;0.0072;100.0000
4000;0.0000;17.0000;-148.0000;12.0000;0.0006;0.0082;100.0000
4100;0.0000;13.0000;96.0000;15.0000;0.0009;0.0070;88.0000
4200;0.0000;17.0000;-134.0000;11.0000;0.0009;0.0080;100.0000
4300;-0.0080;17.0000;303.0000;10.0000;0.0013;0.0080;92.0000
