POCZ;IDX;;_zyl;B;WSTP;WSTK;LKR_MaxDuration;SL;TP;OP_MaxOpenPositions;BVOL_VolumeMeanThreshold;VWST_VolumeMeanPeriod;LL3;BAWE;BCAWE
1000;0;2012-02-18;0.0057;-0.0009;20;3;34;0.005;0.0059;7;153;7;15;0.0011;0.0019
1100;1;2012-02-25;0.03978;-0.00014;23;4;20;0.0062;0.0096;8;242;6;11;0.0016;0.00207
1200;2;2012-03-02;0.0275;-0.00101;23;6;45;0.0084;0.0094;11;155;9;10;0.00133;0.00141
1300;3;2012-03-09;-0.0114;-0.0001;21;1;23;0.0036;0.006;6;135;8;7;0.0016;0.0018
1400;4;2012-03-15;0.0056;-0.0008;21;1;30;0.0036;0.003;10;247;8;15;0.0015;0.0021
1500;5;2012-03-22;0.01083;-0.0003;20;1;25;0.0036;0.007;11;249;7;15;0.0012;0.0012
1600;6;2012-03-29;0.01483;-0.00027;23;3;19;0.0068;0.0046;7;230;4;9;0.00163;0.00222
1700;7;2012-04-04;0.00328;-0.00011;21;2;16;0.008;0.005;9;202;5;10;0.00152;0.00151
1800;8;2012-04-11;0.00943;-0.00011;19;3;23;0.0034;0.0056;8;236;7;7;0.0016;0.00104
1900;9;2012-04-17;-0.00889;-0.0003;21;2;24;0.0086;0.0092;7;208;6;5;0.0018;0.0009
2000;10;2012-04-24;0.00395;-0.0005;19;3;32;0.0032;0.0073;9;217;6;6;0.0016;0.0011
2100;11;2012-04-30;-0.0224;-0.00012;19;3;23;0.003;0.007;6;207;7;10;0.00125;0.00116
2200;12;2012-05-07;0.02018;-0.00053;19;5;22;0.0036;0.0074;9;155;8;13;0.00128;0.00132
2300;13;2012-05-13;0.012;-0.00196;19;2;25;0.007;0.0066;8;172;8;11;0.00102;0.00063
2400;14;2012-05-20;0.03488;-0.0005;18;1;32;0.0034;0.0064;7;213;7;8;0.0011;0.0009
2500;15;2012-05-26;0.0003;-0.00125;19;4;30;0.007;0.0076;7;199;8;6;0.00118;0.00086
2600;16;2012-06-02;0.00207;-0.0005;19;2;32;0.0034;0.0075;9;260;8;15;0.0011;0.0008
2700;17;2012-06-09;0.0463;-0.0012;19;2;37;0.0046;0.0063;8;202;6;5;0.002;0.0013
2800;18;2012-06-15;0.00844;-0.0012;19;2;21;0.0038;0.0096;9;185;7;14;0.00131;0.00087
2900;19;2012-06-22;0.00056;-0.00052;19;2;23;0.0032;0.0084;9;165;6;11;0.00145;0.00079
3000;20;2012-06-28;0.01729;-0.00185;18;5;22;0.0018;0.0082;11;185;8;7;0.00127;0.00171
3100;21;2012-07-05;-0.01352;-0.00119;19;2;21;0.0028;0.006;10;155;5;8;0.00122;0.00161
3200;22;2012-07-11;0.04728;-0.00187;18;4;35;0.0022;0.0084;10;256;6;9;0.0013;0.00253
3300;23;2012-07-18;0.03035;-0.00116;20;2;19;0.006;0.0092;10;254;5;11;0.00153;0.00082
3400;24;2012-07-24;-0.00056;-0.00018;20;1;20;0.0062;0.0086;9;181;7;10;0.00134;0.00201
3500;25;2012-07-31;0.009;-0.0002;19;1;22;0.0092;0.002;6;119;6;14;0.0017;0.0014
3600;26;2012-08-06;0.04687;-0.00017;19;5;16;0.0074;0.006;11;199;6;11;0.00115;0.00174
3700;27;2012-08-13;0.00702;-0.00071;18;1;20;0.0086;0.0084;6;168;6;9;0.00178;0.00282
3800;28;2012-08-20;0.0064;-0.00033;19;3;17;0.0062;0.0018;10;173;6;11;0.00172;0.00127
3900;29;2012-08-26;-0.0036;-0.0001;20;1;31;0.0052;0.002;6;192;8;7;0.0017;0.0008
4000;30;2012-09-02;0.0056;-0.00059;21;2;16;0.008;0.0016;9;160;7;15;0.00125;0.00181
4100;31;2012-09-08;0.01305;-0.0002;20;2;36;0.004;0.0016;8;197;8;7;0.0013;0.003
4200;32;2012-09-15;0.0164;-0.00012;17;4;48;0.0086;0.004;9;173;6;13;0.00139;0.00196
4300;33;2012-09-21;0.0084;-0.0008;20;2;47;0.0088;0.0016;7;263;5;13;0.0014;0.0028
