-0.00035,26,6,30,0.013,0.005,7,280,4,8,0.0016,0.013
0.00025,31,8,29,0.026,0.025,1,200,9,8,0.0011,0.014
-0.0004,30,3,17,0.041,0.021,1,220,4,14,0.0017,0.017
-0.00035,29,8,23,0.029,0.029,1,280,1,8,0.0013,0.019
-0.0001,27,19,51,0.035,0.016,1,200,5,6,0.0007,0.019
5e-05,31,5,32,0.039,0.015,1,140,5,20,0.0013,0.011
0.00035,27,3,23,0.038,0.026,1,260,7,8,0.0012,0.017
-0.00035,27,7,25,0.025,0.027,1,180,7,18,0.0019,0.012
-0.00025,30,22,29,0.027,0.027,1,200,5,20,0.0009,0.01
0.0003,15,1,42,0.046,0.014,4,200,9,16,0.0008,0.018
0.0002,25,2,60,0.028,0.01,1,220,8,8,0.0014,0.017
0.0001,28,11,24,0.043,0.004,1,160,2,4,0.0011,0.015
-0.0002,15,14,54,0.007,0.025,8,200,8,4,0.0017,0.015
0.00025,29,25,12,0.016,0.011,10,140,2,16,0.0017,0.016
5e-05,30,13,1,0.027,0.006,10,120,3,4,0.0015,0.013
0.0003,30,1,3,0.006,0.022,3,260,5,12,0.0007,0.015
0.0003,15,3,2,0.034,0.025,2,120,6,6,0.0008,0.016
0.0001,15,7,42,0.029,0.017,1,260,8,16,0.0015,0.016
-0.0002,17,15,55,0.013,0.019,1,180,3,20,0.0011,0.012
0.0003,16,12,11,0.011,0.017,1,180,6,4,0.0008,0.017
0.0001,15,5,43,0.043,0.016,1,260,6,12,0.001,0.011
0.0001,14,3,47,0.007,0.011,1,160,2,6,0.001,0.01
0.00035,21,17,17,0.007,0.012,1,240,7,16,0.0006,0.016
0.00025,28,16,19,0.008,0.026,1,160,3,6,0.0017,0.015
0.0002,27,15,2,0.034,0.01,1,120,8,8,0.0004,0.016
5e-05,27,18,4,0.042,0.013,1,280,4,16,0.0014,0.015
-0.0001,24,2,5,0.033,0.019,1,220,7,20,0.0011,0.012
0.0002,20,1,18,0.008,0.016,7,300,5,18,0.001,0.019
0.0004,28,6,9,0.007,0.005,1,180,9,16,0.0015,0.011
0.0001,30,13,20,0.036,0.028,1,120,6,6,0.0007,0.018
-0.0003,28,2,18,0.043,0.005,1,160,6,6,0.0003,0.012
0.00015,29,15,48,0.047,0.011,1,300,4,4,0.0018,0.019
0.0001,19,1,27,0.027,0.027,1,180,7,10,0.0013,0.011
0.0003,21,16,29,0.049,0.021,1,220,10,6,0.0019,0.018
